Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Opioid Court Cases,Opioid Court Cases Description,Total Cases,Total Cases Description,Rate of Opioid Court Cases,Percentage of Opioid Court Cases,Percentage of Opioid Court Cases Description,Type of Rate,County_Code_Number,County_Code_Text,State_FIPS_Code,County_FIPS_Code,Latitude,Longitude,Georeferenced Latitude & Longitude
County,Monroe,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,45,45,42,089,41.0609178653,-75.3408360302,POINT (-75.3408360302 41.0609178653)
State,Commonwealth,All,30 to 34 years,2016,2016 Q2,4/1/2016-6/30/2016,180,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1034,Total opioid court cases where age is known,,17.4,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Allegheny,All,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,65,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,2,02,42,003,40.4673554298,-79.9861984282,POINT (-79.9861984282 40.4673554298)
County,Northumberland,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,3,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,49,49,42,097,40.8515092572,-76.7118842273,POINT (-76.7118842273 40.8515092572)
County,Forest,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,27,27,42,053,41.5135787577,-79.2378099483,POINT (-79.2378099483 41.5135787577)
County,Schuylkill,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,24,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,54,54,42,107,40.707512431,-76.223323851,POINT (-76.223323851 40.707512431000005)
State,Commonwealth,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,739,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Allegheny,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,53,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,2,02,42,003,40.4673554298,-79.9861984282,POINT (-79.9861984282 40.4673554298)
State,Commonwealth,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,4068,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,199695,Total number of annual court cases,20.37,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lehigh,All,All (18+ years),2017,2017 Q4,10/1/2017-12/31/2017,22,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,39,39,42,077,40.6146479416,-75.6009948118,POINT (-75.6009948118 40.6146479416)
County,Fulton,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,29,29,42,057,39.9248751086,-78.1148504535,POINT (-78.1148504535 39.9248751086)
County,Erie,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,16,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,25,25,42,049,41.9941378702,-80.0407591036,POINT (-80.0407591036 41.9941378702)
County,Somerset,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,18,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1019,Total number of annual court cases,17.66,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",56,56,42,111,39.9714629901,-79.0310020611,POINT (-79.0310020611 39.9714629901)
County,Bedford,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,6,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,5,05,42,009,40.0073753643,-78.4911647381,POINT (-78.4911647381 40.0073753643)
State,Commonwealth,Male,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,754,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,916,Total opioid court cases where gender is known,,82.3,Percent of total opioid cases for the time period,Rates by gender are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Northampton,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,13,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,48,48,42,095,40.754595404,-75.3126372576,POINT (-75.3126372576 40.754595404)
County,Monroe,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,5,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,45,45,42,089,41.0609178653,-75.3408360302,POINT (-75.3408360302 41.0609178653)
County,Cambria,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,64,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,2052,Total number of annual court cases,31.19,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",11,11,42,021,40.4912749067,-78.7189417385,POINT (-78.7189417385 40.4912749067)
County,Schuylkill,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,12,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,54,54,42,107,40.707512431,-76.223323851,POINT (-76.223323851 40.707512431000005)
County,Venango,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,61,61,42,121,41.4034125863,-79.7628656104,POINT (-79.7628656104 41.4034125863)
County,Crawford,All,All (18+ years),2017,2017 Q4,10/1/2017-12/31/2017,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,20,20,42,039,41.6854690692,-80.1132108295,POINT (-80.1132108295 41.6854690692)
County,Clinton,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,6,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,546,Total number of annual court cases,10.99,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",18,18,42,035,41.2328627374,-77.6428376046,POINT (-77.6428376046 41.2328627374)
County,Northampton,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,6,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,48,48,42,095,40.754595404,-75.3126372576,POINT (-75.3126372576 40.754595404)
County,Monroe,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,45,45,42,089,41.0609178653,-75.3408360302,POINT (-75.3408360302 41.0609178653)
County,Tioga,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,280,Total number of annual court cases,3.57,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",59,59,42,117,41.7733383358,-77.2578807579,POINT (-77.2578807579 41.7733383358)
State,Commonwealth,All,30 to 34 years,2017,2017 Q1,1/1/2017-3/31/2017,157,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,987,Total opioid court cases where age is known,,15.9,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
State,Commonwealth,All,56+ years,2017,2017 Q4,10/1/2017-12/31/2017,29,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,796,Total opioid court cases where age is known,,3.6,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Washington,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,6,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,63,63,42,125,40.1910966345,-80.2518008276,POINT (-80.2518008276 40.1910966345)
State,Commonwealth,All,25 to 29 years,2016,2016 Annual,1/1/2016-12/31/2016,979,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,4059,Total opioid court cases where age is known,,24.1,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lehigh,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,13,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,39,39,42,077,40.6146479416,-75.6009948118,POINT (-75.6009948118 40.6146479416)
County,Indiana,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,8,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,32,32,42,063,40.6529549748,-79.0933349286,POINT (-79.0933349286 40.6529549748)
County,Delaware,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,117,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,6847,Total number of annual court cases,17.09,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",23,23,42,045,39.9165786652,-75.4062771212,POINT (-75.40627712120002 39.9165786652)
State,Commonwealth,All,20 to 24 years,2016,2016 Q2,4/1/2016-6/30/2016,248,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1034,Total opioid court cases where age is known,,24,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Cambria,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,15,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,11,11,42,021,40.4912749067,-78.7189417385,POINT (-78.7189417385 40.4912749067)
County,Montgomery,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,36,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,46,46,42,091,40.209898739,-75.3725200072,POINT (-75.3725200072 40.209898739)
County,Clinton,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,18,18,42,035,41.2328627374,-77.6428376046,POINT (-77.6428376046 41.2328627374)
County,Cambria,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,17,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,11,11,42,021,40.4912749067,-78.7189417385,POINT (-78.7189417385 40.4912749067)
County,Lycoming,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,22,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,41,41,42,081,41.3445979226,-77.069424568,POINT (-77.069424568 41.3445979226)
County,Fulton,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,29,29,42,057,39.9248751086,-78.1148504535,POINT (-78.1148504535 39.9248751086)
State,Commonwealth,All,40 to 44 years,2016,2016 Q4,10/1/2016-12/31/2016,61,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,915,Total opioid court cases where age is known,,6.7,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lycoming,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,18,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,41,41,42,081,41.3445979226,-77.069424568,POINT (-77.069424568 41.3445979226)
County,Mercer,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,6,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,2056,Total number of annual court cases,2.92,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",43,43,42,085,41.302377765,-80.2600941079,POINT (-80.26009410790002 41.302377765)
County,Butler,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,10,10,42,019,40.9108318483,-79.9171177889,POINT (-79.9171177889 40.9108318483)
County,Delaware,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,16,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,23,23,42,045,39.9165786652,-75.4062771212,POINT (-75.40627712120002 39.9165786652)
State,Commonwealth,All,50 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,165,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,4059,Total opioid court cases where age is known,,4.1,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Clinton,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,18,18,42,035,41.2328627374,-77.6428376046,POINT (-77.6428376046 41.2328627374)
County,Clearfield,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,17,17,42,033,41.0004290024,-78.4755834299,POINT (-78.4755834299 41.0004290024)
County,Dauphin,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,173,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,6707,Total number of annual court cases,25.79,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",22,22,42,043,40.4197463597,-76.7796056802,POINT (-76.7796056802 40.4197463597)
County,Allegheny,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,98,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,2,02,42,003,40.4673554298,-79.9861984282,POINT (-79.9861984282 40.4673554298)
County,Delaware,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,22,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,23,23,42,045,39.9165786652,-75.4062771212,POINT (-75.40627712120002 39.9165786652)
County,Montour,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,157,Total number of annual court cases,6.37,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",47,47,42,093,41.0280182438,-76.6647052668,POINT (-76.6647052668 41.0280182438)
County,Franklin,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,14,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,28,28,42,055,39.9278619704,-77.7239884483,POINT (-77.7239884483 39.9278619704)
County,Allegheny,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,67,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,2,02,42,003,40.4673554298,-79.9861984282,POINT (-79.9861984282 40.4673554298)
County,Delaware,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,29,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,23,23,42,045,39.9165786652,-75.4062771212,POINT (-75.40627712120002 39.9165786652)
County,Warren,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,62,62,42,123,41.8167523652,-79.278581578,POINT (-79.278581578 41.8167523652)
County,Delaware,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,21,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,23,23,42,045,39.9165786652,-75.4062771212,POINT (-75.40627712120002 39.9165786652)
County,Armstrong,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,3,03,42,005,40.8150952555,-79.4731689893,POINT (-79.4731689893 40.8150952555)
County,Beaver,All,All (18+ years),2017,2017 Q4,10/1/2017-12/31/2017,6,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,4,04,42,007,40.6834924548,-80.3510735648,POINT (-80.3510735648 40.6834924548)
County,Elk,All,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,3,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,24,24,42,047,41.4281941606,-78.6494771322,POINT (-78.6494771322 41.4281941606)
County,Berks,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,14,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,6,06,42,011,40.4193963513,-75.9307732705,POINT (-75.93077327050001 40.4193963513)
State,Commonwealth,All,35 to 39 years,2018,2018 Q4,10/1/2018-12/31/2018,76,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,576,Total opioid court cases where age is known,,13.2,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Blair,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,22,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,7,07,42,013,40.4855502384,-78.349076871,POINT (-78.349076871 40.4855502384)
County,Union,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,375,Total number of annual court cases,2.67,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",60,60,42,119,40.9647313096,-77.0641580308,POINT (-77.0641580308 40.9647313096)
County,Montgomery,All,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,19,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,46,46,42,091,40.209898739,-75.3725200072,POINT (-75.3725200072 40.209898739)
County,Indiana,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,32,32,42,063,40.6529549748,-79.0933349286,POINT (-79.0933349286 40.6529549748)
County,Mercer,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,43,43,42,085,41.302377765,-80.2600941079,POINT (-80.26009410790002 41.302377765)
County,Chester,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,52,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,4292,Total number of annual court cases,12.12,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",15,15,42,029,39.9748705566,-75.7562649818,POINT (-75.7562649818 39.9748705566)
County,Mercer,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,43,43,42,085,41.302377765,-80.2600941079,POINT (-80.26009410790002 41.302377765)
County,Blair,All,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,14,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,7,07,42,013,40.4855502384,-78.349076871,POINT (-78.349076871 40.4855502384)
