County Name,Quarterly Rate,Overdose Type,Type of Rate,Time Measure,Time Period,Year,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude,Longitude,Georeferenced Latitude & Longitude
Montour,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Potter,,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",53,53,42,105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Lycoming,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Lackawanna,11.09,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",35,35,42,69,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Erie,72.39,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Less than 100% of Emergency Departments in the County are Under Surveillance.     Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",25,25,42,49,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Snyder,,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"No Emergency Department Identified in County.    Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",55,55,42,109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Union,16.99,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",60,60,42,119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Blair,19.72,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",7,7,42,13,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Lawrence,25.6,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",37,37,42,73,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Bedford,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Huntingdon,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",31,31,42,61,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Carbon,26.61,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Elk,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",24,24,42,47,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Lancaster,19.68,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",36,36,42,71,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Montour,0,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Cameron,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"No Emergency Department Identified in County.    Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",12,12,42,23,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Fulton,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",29,29,42,57,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Tioga,,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",59,59,42,117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Pennsylvania,73.02,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Fulton,,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",29,29,42,57,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Pennsylvania,19,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Juniata,,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"No Emergency Department Identified in County.    Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Cambria,31.72,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",11,11,42,21,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Carbon,20.47,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Berks,8.43,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Mifflin,48.71,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",44,44,42,87,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Washington,28.2,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Butler,13.15,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Perry,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"No Emergency Department Identified in County.    Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Schuylkill,16.43,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Less than 100% of Emergency Departments in the County are Under Surveillance.     Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Armstrong,41.63,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Snyder,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"No Emergency Department Identified in County.    Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",55,55,42,109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Mercer,13.42,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",43,43,42,85,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Somerset,13.19,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",56,56,42,111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Susquehanna,0,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",58,58,42,115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Beaver,0,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Columbia,41.94,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Less than 100% of Emergency Departments in the County are Under Surveillance.     Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",19,19,42,37,41.04912086,-76.4100218,POINT (-76.4100218 41.04912086)
Warren,0,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",62,62,42,123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Beaver,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Lawrence,37.23,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",37,37,42,73,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Snyder,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"No Emergency Department Identified in County.    Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",55,55,42,109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Crawford,11.49,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",20,20,42,39,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Delaware,97.35,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",23,23,42,45,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Lebanon,25.15,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
York,41.27,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Northumberland,50.98,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",49,49,42,97,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Montour,53.77,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Venango,32.4,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",61,61,42,121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Allegheny,23.1,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",2,2,42,3,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Blair,12.79,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",7,7,42,13,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Greene,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Westmoreland,23.13,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",65,65,42,129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Wayne,19.84,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",64,64,42,127,41.64969805,-75.3051535,POINT (-75.3051535 41.64969805)
Huntingdon,59.74,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",31,31,42,61,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Wyoming,73.04,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Indiana,20.38,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",32,32,42,63,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
Elk,17.64,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",24,24,42,47,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Allegheny,14.5,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",2,2,42,3,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Monroe,11.1,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",45,45,42,89,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Fulton,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",29,29,42,57,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Pike,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"No Emergency Department Identified in County.    Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",52,52,42,103,41.332572,-75.03270924,POINT (-75.03270924 41.332572)
Sullivan,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"No Emergency Department Identified in County.    Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",57,57,42,113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
