,County,County Code,Year,Year Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Mean Household Income,Percent of Individuals Below Poverty Level,Unemployment Rate,Labor Force Participation Rate
38,"Butler County, PA",42019,2020,2020,37,187888,19.7,13.9,27.1,90006,8.7,10.5,63
39,"Cambria County, PA",42021,2020,2020,22,131730,16.7,10.5,25.3,58267,14.8,12.3,56.3
40,"Carbon County, PA",42025,2020,2020,12,64227,26,9.7,32.6,64567,12,13.6,60.9
41,"Chester County, PA",42029,2020,2020,111,522046,21.3,17.3,25.2,130858,7,9.9,69.1
42,"Clearfield County, PA",42033,2020,2020,15,79388,26.2,10.6,31.2,61193,15.5,11.8,54.3
43,"Columbia County, PA",42037,2020,2020,12,65456,25.5,9.5,32,64635,11.5,10.3,59.1
44,"Crawford County, PA",42039,2020,2020,20,85063,23.5,14.4,36.3,64645,12.6,12.1,58.8
45,"Cumberland County, PA",42041,2020,2020,28,251423,11.1,7.4,16.1,94267,6.9,9.7,66.1
46,"Dauphin County, PA",42043,2020,2020,57,277097,20.6,15.6,26.7,81631,13.7,13.1,66.2
47,"Delaware County, PA",42045,2020,2020,154,564751,27.3,23,31.6,103702,8.6,13.4,64.7
48,"Erie County, PA",42049,2020,2020,56,272061,20.6,15.5,26.7,64585,15.5,14.5,61.2
49,"Franklin County, PA",42055,2020,2020,19,154835,17,7.4,19.2,76310,12.7,11.2,64.4
50,"Indiana County, PA",42063,2020,2020,15,84501,24.55,9.9,29.3,63257,14.9,11.6,54.4
51,"Lackawanna County, PA",42069,2020,2020,84,210793,39.8,31.8,49.3,67631,14.5,14.4,60.9
52,"Lancaster County, PA",42071,2020,2020,57,543557,10.5,7.9,13.6,85427,7.6,11.1,65.6
53,"Lawrence County, PA",42073,2020,2020,34,86184,39.5,27.3,55.1,61859,16.7,13.5,59.4
54,"Lehigh County, PA",42077,2020,2020,38,368100,10.3,7.3,14.2,84151,12.3,14.3,64.7
55,"Luzerne County, PA",42079,2020,2020,65,317646,20.5,15.8,26.1,68960,14.4,16.1,60.9
56,"Mercer County, PA",42085,2020,2020,25,110683,22.6,14.6,33.3,63746,15.8,12.9,55.6
57,"Monroe County, PA",42089,2020,2020,17,169507,13.85,5.8,16.1,78152,12.3,18,60.2
58,"Montgomery County, PA",42091,2020,2020,173,828604,20.9,17.8,24,124717,5.8,11.7,68.3
59,"Northampton County, PA",42095,2020,2020,61,304807,20,15.3,25.7,89577,10.4,13.6,61.9
60,"Northumberland County, PA",42097,2020,2020,16,91083,24.25,10,28.5,63208,12.9,12.8,58.7
61,"Philadelphia County, PA",42101,2020,2020,749,1584138,47.3,43.9,50.7,69025,24.5,17.3,61.1
62,"Schuylkill County, PA",42107,2020,2020,46,142067,32.4,23.7,43.2,63833,13,12.9,56.4
63,"Washington County, PA",42125,2020,2020,70,207346,33.8,26.3,42.7,84968,8.5,12.7,63
64,"Westmoreland County, PA",42129,2020,2020,18,350611,7.05,3,8.1,77136,9,12,60.6
65,"York County, PA",42133,2020,2020,66,448273,14.7,11.4,18.7,83566,8.7,11.2,64.9
